QTD DE BUSCAS,ARQUIVOS,N DE REPETIÇÕES,TEMPO DE INSERÇÃO,TEMPO DE BUSCA,BUSCA/QTD DE BUSCAS
10,txt/bible.txt txt/satanic_bible.txt,5,"0,92445460000000000000","0,01856360000000000000","0,00185636000000000000"
100,txt/bible.txt txt/satanic_bible.txt,5,"0,92218380000000000000","0,19065580000000000000","0,00190655800000000000"
